Action,Time,ISIN,Ticker,Name,Notes,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Charge amount,Currency (Charge amount),Deposit fee,Currency (Deposit fee),Currency conversion from amount,Currency (Currency conversion from amount),Currency conversion to amount,Currency (Currency conversion to amount),Currency conversion fee,Currency (Currency conversion fee)
Market buy,2025-01-10 13:00:16,IE00B5BMR087,CSPX,"iShares Core S&P 500 (Acc)",,EOF26350921181,3.2719538000,626.7200000000,USD,0.04107349,,"CZK",50000.00,"CZK",,,,,,,,,,,74.89,"CZK"
Market buy,2025-01-10 13:01:58,IE00B53SZB19,CNDX,"iShares NASDAQ 100 (Acc)",,EOF26350921822,0.7465742000,1209.4700000000,USD,0.04106995,,"CZK",22018.86,"CZK",,,,,,,,,,,32.98,"CZK"
Deposit,2025-01-10 13:04:21,,,,"Transaction ID: NRD9N7FPSKZ6L2Z3",1d768ebf-60d7-4603-90e5-a783de65ccd8,,,,,,,35000.00,"CZK",,,35245.00,"CZK",-245.00,"CZK",,,,,,
Market buy,2025-01-10 13:05:15,IE00BG0SKF03,5MVL,"iShares Edge MSCI EM Value Factor (Acc)",,EOF26350922696,3.5841900000,48.1350000000,EUR,0.03984861,,"CZK",4336.00,"CZK",,,,,,,,,,,6.49,"CZK"
Market buy,2025-01-10 13:05:33,IE00BG0SKF03,5MVL,"iShares Edge MSCI EM Value Factor (Acc)",,EOF26350922846,2.2020810000,48.1350000000,EUR,0.03984855,,"CZK",2663.99,"CZK",,,,,,,,,,,3.99,"CZK"
Market buy,2025-01-10 13:06:07,IE00BP3QZB59,IWVL,"iShares Edge MSCI World Value Factor (Acc)",,EOF26350922938,0.7703490000,42.7400000000,USD,0.04107118,,"CZK",802.85,"CZK",,,,,,,,,,,1.20,"CZK"
Market buy,2025-01-10 13:06:09,IE00BP3QZB59,IWVL,"iShares Edge MSCI World Value Factor (Acc)",,EOF26350922947,5.9462180000,42.7400000000,USD,0.04107096,,"CZK",6197.14,"CZK",,,,,,,,,,,9.28,"CZK"
Market buy,2025-01-10 13:10:53,IE00B53SZB19,CNDX,"iShares NASDAQ 100 (Acc)",,EOF26350923787,0.0169589500,1209.0900000000,USD,0.04107140,,"CZK",500.00,"CZK",,,,,,,,,,,0.75,"CZK"
Market buy,2025-01-10 13:10:54,IE00BK5BQT80,VWRA,"Vanguard FTSE All-World (Acc)",,EOF26350923790,0.5906661000,138.8600000000,USD,0.04107155,,"CZK",2000.00,"CZK",,,,,,,,,,,3.00,"CZK"
Market buy,2025-01-10 13:10:54,IE00B5BMR087,CSPX,"iShares Core S&P 500 (Acc)",,EOF26350923793,0.0981485000,626.7500000000,USD,0.04107132,,"CZK",1500.00,"CZK",,,,,,,,,,,2.25,"CZK"
Market buy,2025-01-10 13:11:03,IE00BSPLC413,ZPRV,"SPDR MSCI USA Small Cap Value Weighted (Acc)",,EOF26350923808,0.1495890000,66.5100000000,EUR,0.03985724,,"CZK",249.99,"CZK",,,,,,,,,,,0.37,"CZK"
Market buy,2025-01-10 13:11:13,IE00BG0SKF03,5MVL,"iShares Edge MSCI EM Value Factor (Acc)",,EOF26350923844,0.2066800000,48.1400000000,EUR,0.03985888,,"CZK",249.99,"CZK",,,,,,,,,,,0.37,"CZK"
Market buy,2025-01-10 13:11:26,IE00BP3QZB59,IWVL,"iShares Edge MSCI World Value Factor (Acc)",,EOF26350923862,0.4800720000,42.7200000000,USD,0.04107897,,"CZK",500.00,"CZK",,,,,,,,,,,0.75,"CZK"
Market sell,2025-01-10 13:12:15,IE00B53SZB19,CNDX,"iShares NASDAQ 100 (Acc)",,EOF26350923995,0.7465742000,1208.2300000000,USD,0.04107720,-26.25,"CZK",21926.52,"CZK",,,,,,,,,,,32.94,"CZK"
Market sell,2025-01-10 13:12:29,IE00B5BMR087,CSPX,"iShares Core S&P 500 (Acc)",,EOF26350924011,3.2719538000,626.4300000000,USD,0.04107788,-28.58,"CZK",49821.83,"CZK",,,,,,,,,,,74.85,"CZK"
Market sell,2025-01-10 13:12:31,IE00BP3QZB59,IWVL,"iShares Edge MSCI World Value Factor (Acc)",,EOF26350924018,6.7165670000,42.7000000000,USD,0.04107821,-7.46,"CZK",6971.27,"CZK",,,,,,,,,,,10.47,"CZK"
Market sell,2025-01-10 13:12:32,IE00BG0SKF03,5MVL,"iShares Edge MSCI EM Value Factor (Acc)",,EOF26350924020,5.7862710000,48.1100000000,EUR,0.03985812,-5.26,"CZK",6973.73,"CZK",,,,,,,,,,,10.48,"CZK"
Market sell,2025-01-10 13:12:43,IE00BK5BQT80,VWRA,"Vanguard FTSE All-World (Acc)",,EOF26350924065,16.0043000000,138.7800000000,USD,0.04107805,-68.01,"CZK",53988.57,"CZK",,,,,,,,,,,81.10,"CZK"
Market sell,2025-01-10 13:12:51,IE00BK5BQT80,VWRA,"Vanguard FTSE All-World (Acc)",,EOF26350924128,16.4651277000,138.7800000000,USD,0.04107872,-70.88,"CZK",55542.20,"CZK",,,,,,,,,,,83.44,"CZK"
Market buy,2025-01-10 13:13:21,IE00B5BMR087,CSPX,"iShares Core S&P 500 (Acc)",,EOF26350924225,3.5350416000,626.6600000000,USD,0.04108480,,"CZK",54000.31,"CZK",,,,,,,,,,,80.88,"CZK"
Market buy,2025-01-10 13:13:21,IE00BP3QZB59,IWVL,"iShares Edge MSCI World Value Factor (Acc)",,EOF26350924228,1.0000000000,42.7100000000,USD,0.04108468,,"CZK",1041.12,"CZK",,,,,,,,,,,1.56,"CZK"
Market buy,2025-01-10 13:13:21,IE00B53SZB19,CNDX,"iShares NASDAQ 100 (Acc)",,EOF26350924231,0.6108152900,1208.8900000000,USD,0.04108480,,"CZK",17999.75,"CZK",,,,,,,,,,,26.96,"CZK"
Market buy,2025-01-10 13:13:21,IE00BP3QZB59,IWVL,"iShares Edge MSCI World Value Factor (Acc)",,EOF26350924234,14.0000000000,42.7200000000,USD,0.04108479,,"CZK",14579.05,"CZK",,,,,,,,,,,21.84,"CZK"
Market buy,2025-01-10 13:13:22,IE00BP3QZB59,IWVL,"iShares Edge MSCI World Value Factor (Acc)",,EOF26350924237,2.2855290000,42.7200000000,USD,0.04108487,,"CZK",2380.05,"CZK",,,,,,,,,,,3.56,"CZK"
Market buy,2025-01-10 13:13:25,IE00BK5BQT80,VWRA,"Vanguard FTSE All-World (Acc)",,EOF26350924241,21.2747061000,138.8400000000,USD,0.04108649,,"CZK",71999.60,"CZK",,,,,,,,,,,107.84,"CZK"
Market buy,2025-01-10 13:13:30,IE00BG0SKF03,5MVL,"iShares Edge MSCI EM Value Factor (Acc)",,EOF26350924259,7.4440290000,48.1250000000,EUR,0.03986445,,"CZK",9000.03,"CZK",,,,,,,,,,,13.48,"CZK"
Market buy,2025-01-10 13:14:02,IE00BSPLC413,ZPRV,"SPDR MSCI USA Small Cap Value Weighted (Acc)",,EOF26350924432,5.3863280000,66.5100000000,EUR,0.03986445,,"CZK",9000.05,"CZK",,,,,,,,,,,13.48,"CZK"
Deposit,2025-01-13 09:53:34,,,,"Transaction ID: S84X58FK989RM8F6",ffee2913-5e8f-48b0-9213-a25c25092f96,,,,,,,30000.00,"CZK",,,30210.00,"CZK",-210.00,"CZK",,,,,,
Market buy,2025-01-13 10:58:46,NL0010273215,ASML,"ASML",,EOF26450445907,1.5000000000,703.3000000000,EUR,0.03969671,,"CZK",26615.11,"CZK",,,,,,,,,,,39.86,"CZK"
Deposit,2025-01-13 14:05:19,,,,"Transaction ID: V8GKMB4QX92GZSX3",34beabe0-2f37-4f16-a58b-37b94ed9f641,,,,,,,5000.00,"CZK",,,5035.00,"CZK",-35.00,"CZK",,,,,,
Market buy,2025-01-13 14:28:30,US7310681025,PII,"Polaris",,EOF26502279106,4.5561220000,54.3700000000,USD,0.04051817,,"CZK",6122.88,"CZK",,,,,,,,,,,9.17,"CZK"
Market buy,2025-01-13 14:29:52,US7310681025,PII,"Polaris",,EOF26502279348,0.4438780000,54.2600000000,USD,0.04051682,,"CZK",595.33,"CZK",,,,,,,,,,,0.89,"CZK"
Deposit,2025-01-14 07:34:40,,,,"Transaction ID: KVSP23B9XDKL99G6",83517745-d450-4fbb-b0b5-f9f6d7bdc337,,,,,,,25000.00,"CZK",,,25175.00,"CZK",-175.00,"CZK",,,,,,
