Action,Time,ISIN,Ticker,Name,Notes,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Charge amount,Currency (Charge amount),Deposit fee,Currency (Deposit fee),Currency conversion from amount,Currency (Currency conversion from amount),Currency conversion to amount,Currency (Currency conversion to amount),Currency conversion fee,Currency (Currency conversion fee)
Market buy,2025-03-12 21:16:27,US0079031078,AMD,"Advanced Micro Devices",,EOF29455912398,2.0527730000,100.0000000000,USD,0.04358042,,"CZK",4717.38,"CZK",,,,,,,,,,,7.07,"CZK"
Market buy,2025-03-13 08:00:08,IE00BK5BQT80,VWRA,"Vanguard FTSE All-World (Acc)",,EOF29455923283,0.1987546000,136.6000000000,USD,0.04336487,,"CZK",627.02,"CZK",,,,,,,,,,,0.94,"CZK"
Market buy,2025-03-13 08:00:08,IE00BK5BQT80,VWRA,"Vanguard FTSE All-World (Acc)",,EOF29455923352,0.7626546000,136.6000000000,USD,0.04336511,,"CZK",2405.96,"CZK",,,,,,,,,,,3.60,"CZK"
Market buy,2025-03-13 08:00:11,IE00BP3QZB59,IWVL,"iShares Edge MSCI World Value Factor (Acc)",,EOF29455923530,0.0969400000,45.7900000000,USD,0.04336540,,"CZK",102.51,"CZK",,,,,,,,,,,0.15,"CZK"
Market buy,2025-03-13 08:00:17,IE00B5BMR087,CSPX,"iShares Core S&P 500 (Acc)",,EOF29455924005,0.0262444000,591.5900000000,USD,0.04336487,,"CZK",358.57,"CZK",,,,,,,,,,,0.54,"CZK"
Market buy,2025-03-13 08:00:18,IE00B5BMR087,CSPX,"iShares Core S&P 500 (Acc)",,EOF29455924096,0.2375515000,591.6600000000,USD,0.04336535,,"CZK",3245.92,"CZK",,,,,,,,,,,4.86,"CZK"
Market buy,2025-03-13 08:00:28,IE00B53SZB19,CNDX,"iShares NASDAQ 100 (Acc)",,EOF29455924633,0.0568675500,1112.0700000000,USD,0.04336157,,"CZK",1460.64,"CZK",,,,,,,,,,,2.19,"CZK"
Market buy,2025-03-13 08:04:29,IE00BSPLC413,ZPRV,"SPDR MSCI USA Small Cap Value Weighted (Acc)",,EOF29455935249,0.5155860000,58.1900000000,EUR,0.03990416,,"CZK",752.98,"CZK",,,,,,,,,,,1.13,"CZK"
Market buy,2025-03-13 08:04:30,IE00BG0SKF03,5MVL,"iShares Edge MSCI EM Value Factor (Acc)",,EOF29455935326,0.0387600000,47.6850000000,EUR,0.03990221,,"CZK",46.39,"CZK",,,,,,,,,,,0.07,"CZK"
Dividend (Dividend),2025-03-13 09:13:18,US5949181045,MSFT,"Microsoft",,,1.0000000000,0.705500,USD,22.99078667,,,16.22,"CZK",0.12,USD,,,,,,,,,,
Deposit,2025-03-13 09:27:53,,,,"Transaction ID: BM3GTFK6XJ2MCSG6",c94d63a9-c548-42fd-bd9b-31f70dfd7219,,,,,,,20000.00,"CZK",,,20140.00,"CZK",-140.00,"CZK",,,,,,
Dividend (Dividend),2025-03-14 12:02:31,US7561091049,O,"Realty Income",,,3.5351150000,0.227800,USD,23.10942326,,,18.61,"CZK",0.14,USD,,,,,,,,,,
Market buy,2025-03-17 00:00:04,US70450Y1038,PYPL,"PayPal",,EOF29600817901,2.4837300000,70.0000000000,USD,0.04353046,,"CZK",4000.00,"CZK",,,,,,,,,,,5.99,"CZK"
Market buy,2025-03-17 00:00:04,US0231351067,AMZN,"Amazon",,EOF29600817898,1.6518703000,197.2900000000,USD,0.04351816,,"CZK",7500.00,"CZK",,,,,,,,,,,11.23,"CZK"
Market buy,2025-03-17 00:00:04,US0079031078,AMD,"Advanced Micro Devices",,EOF29600817895,1.5303267000,100.3700000000,USD,0.04351822,,"CZK",3534.82,"CZK",,,,,,,,,,,5.29,"CZK"
Market buy,2025-03-17 08:00:06,IE00B53SZB19,CNDX,"iShares NASDAQ 100 (Acc)",,EOF29600833549,0.0236800000,1120.3800000000,USD,0.04347354,,"CZK",611.19,"CZK",,,,,,,,,,,0.92,"CZK"
Market buy,2025-03-17 08:00:11,IE00B5BMR087,CSPX,"iShares Core S&P 500 (Acc)",,EOF29600835233,0.1228701000,596.0000000000,USD,0.04347395,,"CZK",1687.00,"CZK",,,,,,,,,,,2.53,"CZK"
Market buy,2025-03-17 08:00:20,IE00BP3QZB59,IWVL,"iShares Edge MSCI World Value Factor (Acc)",,EOF29600836433,0.3359270000,46.4800000000,USD,0.04347818,,"CZK",359.66,"CZK",,,,,,,,,,,0.54,"CZK"
Market buy,2025-03-17 08:00:30,IE00BK5BQT80,VWRA,"Vanguard FTSE All-World (Acc)",,EOF29600837881,0.6232440000,138.1600000000,USD,0.04347233,,"CZK",1983.71,"CZK",,,,,,,,,,,2.97,"CZK"
Market buy,2025-03-17 08:04:02,IE00BSPLC413,ZPRV,"SPDR MSCI USA Small Cap Value Weighted (Acc)",,EOF29650755202,0.1586790000,58.5300000000,EUR,0.03996162,,"CZK",232.76,"CZK",,,,,,,,,,,0.35,"CZK"
Market buy,2025-03-17 08:04:18,IE00BG0SKF03,5MVL,"iShares Edge MSCI EM Value Factor (Acc)",,EOF29650757429,0.1031250000,48.6300000000,EUR,0.03995991,,"CZK",125.69,"CZK",,,,,,,,,,,0.19,"CZK"
Dividend (Dividend),2025-03-17 14:02:52,US7310681025,PII,"Polaris",,,8.0000000000,0.569500,USD,22.98946444,,,104.74,"CZK",0.80,USD,,,,,,,,,,
Dividend (Dividend),2025-03-17 14:23:31,US02079K3059,GOOGL,"Alphabet (Class A)",,,5.5557862000,0.170000,USD,22.97551673,,,21.70,"CZK",0.17,USD,,,,,,,,,,
Market buy,2025-03-20 15:09:31,US02079K3059,GOOGL,"Alphabet (Class A)",,EOF29852686040,0.0333046000,164.1000000000,USD,0.04328595,,"CZK",126.45,"CZK",,,,,,,,,,,0.19,"CZK"
Dividend (Dividend),2025-03-28 11:35:14,US5398301094,LMT,"Lockheed Martin",,,1.3226131000,2.805000,USD,23.14329539,,,85.86,"CZK",0.65,USD,,,,,,,,,,
Dividend (Dividend),2025-04-03 11:46:32,US9256521090,VICI,"VICI Properties",,,6.1733400000,0.367625,USD,22.79382681,,,51.73,"CZK",0.40,USD,,,,,,,,,,
Deposit,2025-04-15 09:15:29,,,,"Transaction ID: WBV4JN4MRT34H3F6",ff32fee5-8802-455f-9316-8146fcfd5408,,,,,,,17000.00,"CZK",,,17119.00,"CZK",-119.00,"CZK",,,,,,
Market buy,2025-04-15 09:15:55,US0231351067,AMZN,"Amazon",,EOF31150372766,1.7282578000,182.9400000000,USD,0.04523457,,"CZK",6999.99,"CZK",,,,,,,,,,,10.48,"CZK"
Dividend (Dividend),2025-04-15 11:38:15,US7561091049,O,"Realty Income",,,3.5351150000,0.228225,USD,22.06242468,,,17.80,"CZK",0.14,USD,,,,,,,,,,
Market buy,2025-04-24 08:01:25,NL0010273215,ASML,"ASML",,EOF31600750430,0.3486596000,573.5000000000,EUR,0.04005125,,"CZK",5000.00,"CZK",,,,,,,,,,,7.49,"CZK"
Market buy,2025-04-24 08:02:15,US02079K3059,GOOGL,"Alphabet (Class A)",,EOF31600750546,1.5129132000,155.1900000000,USD,0.04561064,,"CZK",5155.40,"CZK",,,,,,,,,,,7.72,"CZK"
Dividend (Dividend),2025-05-06 11:56:53,NL0010273215,ASML,"ASML",,,5.3696436000,1.564000,EUR,24.91747384,,,209.26,"CZK",1.48,EUR,,,,,,,,,,
Dividend (Dividend),2025-05-15 13:19:48,US7561091049,O,"Realty Income",,,3.5351150000,0.228225,USD,22.21116013,,,17.92,"CZK",0.14,USD,,,,,,,,,,
Dividend (Dividend),2025-05-26 09:12:38,DE000PAG9113,P911,"Porsche",,,15.3926500000,0.601396,EUR,24.85665525,,,230.10,"CZK",3.32,EUR,,,,,,,,,,
Dividend (Tax exempted),2025-05-26 09:16:35,DE000PAG9113,P911,"Porsche",,,15.3926500000,1.493163,EUR,24.84713597,,,571.08,"CZK",0.00,EUR,,,,,,,,,,
Dividend (Dividend),2025-06-12 12:13:47,US5949181045,MSFT,"Microsoft",,,1.0000000000,0.705500,USD,21.48830616,,,15.16,"CZK",0.12,USD,,,,,,,,,,
Dividend adjustment,2025-06-13 11:07:48,,,,"2024 US dividends withholding tax adjustment",f18088a9-66f9-48f1-89a2-915d4c50d417,,,,,,,2.58,"CZK",,,,,,,,,,,,
Dividend (Dividend),2025-06-13 13:33:23,US7561091049,O,"Realty Income",,,3.5351150000,0.228225,USD,21.47987752,,,17.33,"CZK",0.14,USD,,,,,,,,,,
Dividend (Dividend),2025-06-16 12:22:55,US7310681025,PII,"Polaris",,,8.0000000000,0.569500,USD,21.39157155,,,97.46,"CZK",0.80,USD,,,,,,,,,,
Dividend (Dividend),2025-06-16 12:51:05,US02079K3059,GOOGL,"Alphabet (Class A)",,,8.4068828000,0.178500,USD,21.40436376,,,32.12,"CZK",0.26,USD,,,,,,,,,,
Dividend (Dividend),2025-06-27 14:53:18,US5398301094,LMT,"Lockheed Martin",,,1.3226131000,2.805000,USD,21.11360736,,,78.33,"CZK",0.65,USD,,,,,,,,,,
Dividend (Dividend),2025-07-10 13:34:55,US01609W1027,BABA,"Alibaba",,,1.8900376000,1.050000,USD,21.00235365,,,41.68,"CZK",0.00,USD,,,,,,,,,,
Dividend (Dividend),2025-07-10 13:43:39,US9256521090,VICI,"VICI Properties",,,6.1733400000,0.367625,USD,21.01808504,,,47.70,"CZK",0.40,USD,,,,,,,,,,
Dividend (Dividend),2025-07-10 13:49:37,US01609W1027,BABA,"Alibaba",,,1.8900376000,0.950000,USD,21.00208844,,,37.71,"CZK",0.00,USD,,,,,,,,,,
Dividend (Dividend),2025-07-15 13:28:40,US7561091049,O,"Realty Income",,,3.5351150000,0.228650,USD,21.13066254,,,17.08,"CZK",0.14,USD,,,,,,,,,,
Deposit,2025-07-23 12:20:06,,,,"Transaction ID: H97SPRP2THFLJ724",4d03c748-bd1c-4f5b-8447-f5b5b7d6430f,,,,,,,15000.00,"CZK",,,15105.00,"CZK",-105.00,"CZK",,,,,,
Market buy,2025-07-24 11:30:41,IE00B5BMR087,CSPX,"iShares Core S&P 500 (Acc)",,EOF36150797647,0.3533398600,679.3600000000,USD,0.04784002,,"CZK",5025.20,"CZK",,,,,,,,,,,7.54,"CZK"
Market buy,2025-07-24 11:30:46,IE00BK5BQT80,VWRA,"Vanguard FTSE All-World (Acc)",,EOF36150797652,2.1215390800,156.8400000000,USD,0.04784002,,"CZK",6965.76,"CZK",,,,,,,,,,,10.45,"CZK"
Market buy,2025-07-24 11:30:47,IE00B53SZB19,CNDX,"iShares NASDAQ 100 (Acc)",,EOF36150797660,0.0246985400,1331.6000000000,USD,0.04784001,,"CZK",688.50,"CZK",,,,,,,,,,,1.03,"CZK"
Market buy,2025-07-24 11:30:47,IE00BP3QZB59,IWVL,"iShares Edge MSCI World Value Factor (Acc)",,EOF36150797663,2.1247703500,51.4400000000,USD,0.04784002,,"CZK",2288.09,"CZK",,,,,,,,,,,3.43,"CZK"
Market buy,2025-07-24 11:30:50,IE00BG0SKF03,5MVL,"iShares Edge MSCI EM Value Factor (Acc)",,EOF36150797672,0.3936084000,52.5200000000,EUR,0.04072158,,"CZK",508.41,"CZK",,,,,,,,,,,0.76,"CZK"
Market buy,2025-07-24 11:31:00,IE00BSPLC413,ZPRV,"SPDR MSCI USA Small Cap Value Weighted (Acc)",,EOF36150797694,0.6240207300,61.2200000000,EUR,0.04072158,,"CZK",939.55,"CZK",,,,,,,,,,,1.41,"CZK"
Deposit,2025-08-01 15:29:19,,,,"Transaction ID: PZ2HRHMZRNDNK4Q9",3aba7d0e-727c-465a-b1f5-e533dcbce46e,,,,,,,10000.00,"CZK",,,10070.00,"CZK",-70.00,"CZK",,,,,,
Market buy,2025-08-01 15:30:11,US0079031078,AMD,"Advanced Micro Devices",,EOF36561774732,2.7461870000,170.7500000000,USD,0.04696158,,"CZK",10000.00,"CZK",,,,,,,,,,,15.00,"CZK"
Market sell,2025-08-06 11:54:37,US9256521090,VICI,"VICI Properties",,EOF36801563793,6.1733400000,33.5000000000,USD,0.04724336,83.90,"CZK",4370.91,"CZK",,,,,,,,,,,6.57,"CZK"
Market sell,2025-08-06 11:54:54,US9344231041,WBD,"Warner Bros Discovery",,EOF36801563826,10.0000000000,12.7300000000,USD,0.04724105,293.90,"CZK",2690.65,"CZK",,,,,,,,,,,4.04,"CZK"
Dividend (Dividend),2025-08-06 12:28:15,NL0010273215,ASML,"ASML",,,5.3696436000,1.360000,EUR,24.59085322,,,179.58,"CZK",1.29,EUR,,,,,,,,,,
Market sell,2025-08-06 12:41:41,US01609W1027,BABA,"Alibaba",,EOF36801574295,1.8900376000,118.9200000000,USD,0.04724786,-235.40,"CZK",4749.97,"CZK",,,,,,,,,,,7.14,"CZK"
Market sell,2025-08-06 12:43:08,US62914V1061,NIO,"NIO",,EOF36801574568,33.3481000000,4.5900000000,USD,0.04724328,-1234.29,"CZK",3235.13,"CZK",,,,,,,,,,,4.86,"CZK"
Market sell,2025-08-06 12:45:57,US70450Y1038,PYPL,"PayPal",,EOF36801575258,2.4837300000,68.1300000000,USD,0.04726652,-413.96,"CZK",3574.68,"CZK",,,,,,,,,,,5.37,"CZK"
Market sell,2025-08-06 12:47:26,US7561091049,O,"Realty Income",,EOF36801575688,3.5351150000,57.1900000000,USD,0.04728357,-356.73,"CZK",4269.35,"CZK",,,,,,,,,,,6.41,"CZK"
Market buy,2025-08-06 12:49:49,US5949181045,MSFT,"Microsoft",,EOF36801576226,1.0675813500,530.8000000000,USD,0.04729362,,"CZK",12000.00,"CZK",,,,,,,,,,,18.00,"CZK"
Market buy,2025-08-06 12:52:58,US02079K3059,GOOGL,"Alphabet (Class A)",,EOF36801576963,2.6813784600,194.9300000000,USD,0.04728579,,"CZK",11070.27,"CZK",,,,,,,,,,,16.61,"CZK"
Deposit,2025-08-14 09:24:51,,,,"Transaction ID: QP4BN7XNH7JPFHG3",85ba3fd5-e408-421a-b41a-94010221e4b4,,,,,,,27500.00,"CZK",,,27692.50,"CZK",-192.50,"CZK",,,,,,
Market buy,2025-08-14 12:31:54,IE00BSPLC413,ZPRV,"SPDR MSCI USA Small Cap Value Weighted (Acc)",,EOF37200846972,0.4314128400,61.6100000000,EUR,0.04086803,,"CZK",651.35,"CZK",,,,,,,,,,,0.98,"CZK"
Market buy,2025-08-14 12:31:54,IE00B5BMR087,CSPX,"iShares Core S&P 500 (Acc)",,EOF37200846975,0.1978066000,688.4600000000,USD,0.04769126,,"CZK",2859.78,"CZK",,,,,,,,,,,4.29,"CZK"
Market buy,2025-08-14 12:31:54,IE00BK5BQT80,VWRA,"Vanguard FTSE All-World (Acc)",,EOF37200846980,1.2674745900,158.3600000000,USD,0.04769126,,"CZK",4215.00,"CZK",,,,,,,,,,,6.32,"CZK"
Market buy,2025-08-14 12:31:54,IE00B53SZB19,CNDX,"iShares NASDAQ 100 (Acc)",,EOF37200846983,0.0246570400,1363.0000000000,USD,0.04769124,,"CZK",705.75,"CZK",,,,,,,,,,,1.06,"CZK"
Market buy,2025-08-14 12:31:54,IE00BP3QZB59,IWVL,"iShares Edge MSCI World Value Factor (Acc)",,EOF37200846988,0.6477532400,52.3700000000,USD,0.04769132,,"CZK",712.37,"CZK",,,,,,,,,,,1.07,"CZK"
Market buy,2025-08-14 12:31:56,IE00BP3QZB59,IWVL,"iShares Edge MSCI World Value Factor (Acc)",,EOF37200846993,0.1305386900,52.4000000000,USD,0.04769035,,"CZK",143.65,"CZK",,,,,,,,,,,0.22,"CZK"
Market buy,2025-08-14 12:32:02,IE00BG0SKF03,5MVL,"iShares Edge MSCI EM Value Factor (Acc)",,EOF37200847017,0.5514974400,52.6900000000,EUR,0.04086803,,"CZK",712.10,"CZK",,,,,,,,,,,1.07,"CZK"
Market buy,2025-08-14 12:32:22,NL0010273215,ASML,"ASML",,EOF37200847186,1.1148469900,640.5000000000,EUR,0.04086469,,"CZK",17500.00,"CZK",,,,,,,,,,,26.25,"CZK"
Dividend (Dividend),2025-08-15 09:49:02,US7561091049,O,"Realty Income",,,3.5351150000,0.228650,USD,20.98220355,,,16.96,"CZK",0.14,USD,,,,,,,,,,
Market sell,2025-09-02 10:26:43,IE0003R87OG3,AVWS,"Avantis Global Small Cap Value (Acc)",,EOF38151107162,20.0000000000,19.3720000000,EUR,0.04085299,-342.77,"CZK",9469.53,"CZK",,,,,,,,,,,14.23,"CZK"
Withdrawal,2025-09-04 00:17:40,,,,"Sent to card **** 7640",4be0aec2-9556-4bc7-b771-e48212ac97fe,,,,,,,-9486.49,"CZK",,,,,,,,,,,,
Dividend (Dividend),2025-09-11 12:27:55,US5949181045,MSFT,"Microsoft",,,2.0675813500,0.705500,USD,20.86820161,,,30.44,"CZK",0.26,USD,,,,,,,,,,
Dividend (Dividend),2025-09-15 12:12:54,US7310681025,PII,"Polaris",,,8.0000000000,0.569500,USD,20.73968393,,,94.49,"CZK",0.80,USD,,,,,,,,,,
Dividend (Dividend),2025-09-15 12:38:17,US02079K3059,GOOGL,"Alphabet (Class A)",,,11.0882612600,0.178500,USD,20.73507838,,,41.04,"CZK",0.35,USD,,,,,,,,,,
Dividend (Dividend),2025-09-26 13:03:07,US5398301094,LMT,"Lockheed Martin",,,1.3226131000,2.805000,USD,20.83597407,,,77.30,"CZK",0.65,USD,,,,,,,,,,
Market sell,2025-10-02 08:00:03,US5398301094,LMT,"Lockheed Martin",,EOF39650415111,1.3226131000,496.0000000000,USD,0.04841747,-82.16,"CZK",13528.84,"CZK",,,,,,,,,,,20.32,"CZK"
Limit sell,2025-10-02 13:42:09,US7310681025,PII,"Polaris",,EOF39655438369,6.6440000000,62.5800000000,USD,0.04835917,-491.68,"CZK",8584.88,"CZK",,,,,,,,,,,12.90,"CZK"
Limit sell,2025-10-02 13:42:10,US7310681025,PII,"Polaris",,EOF39655438381,1.3560000000,62.5800000000,USD,0.04835764,-100.29,"CZK",1752.18,"CZK",,,,,,,,,,,2.63,"CZK"
Market buy,2025-10-03 07:00:00,IE00BK5BQT80,VWRA,"Vanguard FTSE All-World (Acc)",,EOF39662127580,0.2394984000,165.9800000000,USD,0.04828836,,"CZK",824.45,"CZK",,,,,,,,,,,1.23,"CZK"
Market buy,2025-10-03 07:00:01,IE00BP3QZB59,IWVL,"iShares Edge MSCI World Value Factor (Acc)",,EOF39662127643,0.1922182200,55.6400000000,USD,0.04828888,,"CZK",221.81,"CZK",,,,,,,,,,,0.33,"CZK"
Market buy,2025-10-03 07:00:04,IE00B5BMR087,CSPX,"iShares Core S&P 500 (Acc)",,EOF39662127909,0.0996081400,720.1300000000,USD,0.04829284,,"CZK",1487.56,"CZK",,,,,,,,,,,2.23,"CZK"
Market buy,2025-10-03 07:00:06,IE00BK5BQT80,VWRA,"Vanguard FTSE All-World (Acc)",,EOF39662128169,0.2958635100,166.0000000000,USD,0.04829284,,"CZK",1018.52,"CZK",,,,,,,,,,,1.53,"CZK"
Market buy,2025-10-03 07:00:12,IE00B53SZB19,CNDX,"iShares NASDAQ 100 (Acc)",,EOF39662128965,0.0123763900,1432.0000000000,USD,0.04829284,,"CZK",367.54,"CZK",,,,,,,,,,,0.55,"CZK"
Market buy,2025-10-03 07:04:10,IE00BSPLC413,ZPRV,"SPDR MSCI USA Small Cap Value Weighted (Acc)",,EOF39662145581,0.0505757300,65.1800000000,EUR,0.04120142,,"CZK",80.13,"CZK",,,,,,,,,,,0.12,"CZK"
Market buy,2025-10-06 15:58:52,US0231351067,AMZN,"Amazon",,EOF39868017363,1.0000000000,220.2800000000,USD,0.04811991,,"CZK",4584.60,"CZK",,,,,,,,,,,6.87,"CZK"
Market buy,2025-10-06 15:59:05,US5949181045,MSFT,"Microsoft",,EOF39868017464,1.0000000000,525.0200000000,USD,0.04812573,,"CZK",10925.70,"CZK",,,,,,,,,,,16.36,"CZK"
Market buy,2025-10-06 15:59:35,US0231351067,AMZN,"Amazon",,EOF39868017566,1.0039389800,220.1800000000,USD,0.04813778,,"CZK",4598.87,"CZK",,,,,,,,,,,6.90,"CZK"
Dividend (Dividend),2025-11-06 12:11:23,NL0010273215,ASML,"ASML",,,6.4844905900,1.360000,EUR,24.35562537,,,214.79,"CZK",1.56,EUR,,,,,,,,,,
Deposit,2025-11-24 09:32:29,,,,"Transaction ID: DXL32DRFR3VT36Q9",c67adabf-7d55-4ad7-8ca1-ceb005e01a20,,,,,,,20000.00,"CZK",,,20140.00,"CZK",-140.00,"CZK",,,,,,
Market buy,2025-11-24 09:33:01,US5949181045,MSFT,"Microsoft",,EOF42351275661,1.0026565000,474.3000000000,USD,0.04762743,,"CZK",10000.00,"CZK",,,,,,,,,,,15.00,"CZK"
Market buy,2025-11-24 09:33:30,NL0010273215,ASML,"ASML",,EOF42351275726,0.4907043100,840.7000000000,EUR,0.04131548,,"CZK",10000.00,"CZK",,,,,,,,,,,15.00,"CZK"
Deposit,2025-12-10 20:00:20,,,,"Bank Transfer",bb8eaa6f-7a7d-4721-bb1d-59492b314ee4,,,,,,,11061.86,"CZK",,,,,,,,,,,,
Dividend (Dividend),2025-12-11 15:03:44,US5949181045,MSFT,"Microsoft",,,3.0675813500,0.773500,USD,20.72257888,,,49.17,"CZK",0.42,USD,,,,,,,,,,
