Action,Time,ISIN,Ticker,Name,Notes,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Charge amount,Currency (Charge amount),Deposit fee,Currency (Deposit fee),Stamp duty reserve tax,Currency (Stamp duty reserve tax),Currency conversion fee,Currency (Currency conversion fee)
Market buy,2024-02-12 13:31:40,IE00BFMXXD54,VUAA,"Vanguard S&P 500 (Acc)",,EOF10200217815,2.2544190000,94.6200000000,USD,0.04272662,,"CZK",5000.00,"CZK",,,,,,,,,7.49,"CZK"
Deposit,2024-03-02 20:49:43,,,,"Transaction ID: M9HR3H253TRMMM52",c26727ce-e538-4927-935b-8e5798a335ba,,,,,,,5000.00,"CZK",,,5035.00,"CZK",-35.00,"CZK",,,,
Market buy,2024-03-04 19:42:42,US02079K3059,GOOGL,"Alphabet (Class A)",,EOF11203985220,1.0008305000,133.1700000000,USD,0.04279591,,"CZK",3119.00,"CZK",,,,,,,,,4.67,"CZK"
Market buy,2024-03-04 19:48:52,US62914V1061,NIO,"NIO",,EOF11203986074,14.9669200000,5.3700000000,USD,0.04279268,,"CZK",1881.00,"CZK",,,,,,,,,2.82,"CZK"
Dividend (Dividend),2024-03-14 10:13:59,US5949181045,MSFT,"Microsoft",,,0.0308000000,0.637500,USD,22.91825821,,,0.45,"CZK",0.00,USD,,,,,,,,
Deposit,2024-03-16 19:55:51,,,,"Transaction ID: DKKVJL3J4RMFQ632",073876bd-3575-44e5-a2ec-2ef2b643baf7,,,,,,,10000.00,"CZK",,,10070.00,"CZK",-70.00,"CZK",,,,
Market buy,2024-03-18 08:00:38,IE00BFMXXD54,VUAA,"Vanguard S&P 500 (Acc)",,EOF11750674150,2.2337180000,96.7700000000,USD,0.04329623,,"CZK",5000.00,"CZK",,,,,,,,,7.49,"CZK"
Market buy,2024-03-18 08:00:43,IE00BK5BQT80,VWRA,"Vanguard FTSE All-World (Acc)",,EOF11750674835,1.7176529000,125.8600000000,USD,0.04329772,,"CZK",5000.45,"CZK",,,,,,,,,7.49,"CZK"
Dividend (Dividend),2024-03-29 11:12:51,US5398301094,LMT,"Lockheed Martin",,,0.3709186000,2.677500,USD,23.45100164,,,23.29,"CZK",0.18,USD,,,,,,,,
Dividend (Dividend),2024-04-04 11:08:22,US9256521090,VICI,"VICI Properties",,,6.1733400000,0.352750,USD,23.33712979,,,50.82,"CZK",0.38,USD,,,,,,,,
Dividend (Dividend),2024-06-13 09:30:13,US5949181045,MSFT,"Microsoft",,,0.0308000000,0.637500,USD,22.91825821,,,0.45,"CZK",0.00,USD,,,,,,,,
Dividend (Dividend),2024-06-17 13:11:47,US02079K3059,GOOGL,"Alphabet (Class A)",,,1.0008305000,0.170000,USD,23.09846378,,,3.93,"CZK",0.03,USD,,,,,,,,
Deposit,2024-06-21 14:50:38,,,,"Transaction ID: K6JSTNNKDXZ7ZQD3",eeb9e4cd-b750-42c9-8f31-34cdbe91f09c,,,,,,,10000.00,"CZK",,,10070.00,"CZK",-70.00,"CZK",,,,
Market buy,2024-06-21 14:51:25,IE00BK5BQT80,VWRA,"Vanguard FTSE All-World (Acc)",,EOF16301905031,0.8144360000,131.2200000000,USD,0.04281233,,"CZK",2499.99,"CZK",,,,,,,,,3.74,"CZK"
Market buy,2024-06-21 14:51:56,IE00BFMXXD54,VUAA,"Vanguard S&P 500 (Acc)",,EOF16301905167,1.0330645000,103.4400000000,USD,0.04280828,,"CZK",2499.99,"CZK",,,,,,,,,3.74,"CZK"
Market buy,2024-06-21 14:52:10,US67066G1040,NVDA,"Nvidia",,EOF16301905214,1.7175045000,126.3900000000,USD,0.04280806,,"CZK",5078.51,"CZK",,,,,,,,,7.61,"CZK"
Deposit,2024-06-21 15:32:04,,,,"Free Shares Promotion",812f9bbd-c1a8-43e7-bc56-8ff02e21350b,,,,,,,292.86,"CZK",,,,,,,,,,
Market buy,2024-06-21 15:32:04,US88160R1014,TSLA,"Tesla",,EOF16301912942,0.0686721000,182.1700000000,USD,0.04278091,,"CZK",292.86,"CZK",,,,,,,,,0.44,"CZK"
Market sell,2024-06-21 15:38:26,US88160R1014,TSLA,"Tesla",,EOF16301913608,0.0686721000,182.0100000000,USD,0.04279456,-0.35,"CZK",291.63,"CZK",,,,,,,,,0.44,"CZK"
Market buy,2024-06-21 15:38:53,US67066G1040,NVDA,"Nvidia",,EOF16301913623,0.0971831000,128.2300000000,USD,0.04279607,,"CZK",291.63,"CZK",,,,,,,,,0.44,"CZK"
Dividend (Dividend),2024-06-28 14:55:07,US5398301094,LMT,"Lockheed Martin",,,0.3709186000,2.677500,USD,23.44093251,,,23.28,"CZK",0.18,USD,,,,,,,,
Dividend (Dividend),2024-07-03 12:56:23,US9256521090,VICI,"VICI Properties",,,6.1733400000,0.352750,USD,23.40141940,,,50.96,"CZK",0.38,USD,,,,,,,,
Deposit,2024-07-15 10:49:17,,,,"Transaction ID: QWR5LJX9XVNZ7GX3",36fb47d0-7f71-4dc0-bb89-5db2426cf37b,,,,,,,10000.00,"CZK",,,10070.00,"CZK",-70.00,"CZK",,,,
Market buy,2024-07-15 10:49:56,IE00BFMXXD54,VUAA,"Vanguard S&P 500 (Acc)",,EOF17500178803,2.0102961000,106.7200000000,USD,0.04297213,,"CZK",5000.00,"CZK",,,,,,,,,7.49,"CZK"
Market buy,2024-07-15 10:51:23,IE00BK5BQT80,VWRA,"Vanguard FTSE All-World (Acc)",,EOF17500178910,1.6002270000,136.0800000000,USD,0.04297895,,"CZK",5074.24,"CZK",,,,,,,,,7.60,"CZK"
Deposit,2024-08-16 14:22:04,,,,"Transaction ID: RFRLP22VV3B3NGX3",086a4e17-51e7-4cc3-874b-f2a29eb1ab07,,,,,,,10000.00,"CZK",,,10070.00,"CZK",-70.00,"CZK",,,,
Market buy,2024-08-16 14:28:00,IE00BK5BQT80,VWRA,"Vanguard FTSE All-World (Acc)",,EOF19101135007,1.6239693000,133.9000000000,USD,0.04355514,,"CZK",5000.00,"CZK",,,,,,,,,7.49,"CZK"
Market buy,2024-08-16 14:28:16,IE00BFMXXD54,VUAA,"Vanguard S&P 500 (Acc)",,EOF19101135084,2.0709295000,105.0000000000,USD,0.04355476,,"CZK",5000.00,"CZK",,,,,,,,,7.49,"CZK"
Dividend (Dividend),2024-09-12 11:43:27,US5949181045,MSFT,"Microsoft",,,0.0308000000,0.637500,USD,22.91825821,,,0.45,"CZK",0.00,USD,,,,,,,,
Deposit,2024-09-13 10:11:12,,,,"Transaction ID: L93T8RCL9X8BLWF6",4df6a8a8-a7df-4099-9dad-6e3d0ea1bac7,,,,,,,10000.00,"CZK",,,10070.00,"CZK",-70.00,"CZK",,,,
Deposit,2024-09-13 10:11:33,,,,"Transaction ID: GMK6LGF5RDZ9V4G3",b2f79065-c442-4cb2-bdda-21684830e52f,,,,,,,5000.00,"CZK",,,5035.00,"CZK",-35.00,"CZK",,,,
Market buy,2024-09-13 10:12:27,DE000CBK1001,CBK,"Commerzbank",,EOF20403622875,38.8153580000,15.3400000000,EUR,0.03975353,,"CZK",15000.45,"CZK",,,,,,,,,22.47,"CZK"
Dividend (Dividend),2024-09-16 10:42:09,US02079K3059,GOOGL,"Alphabet (Class A)",,,1.0008305000,0.170000,USD,22.62826604,,,3.85,"CZK",0.03,USD,,,,,,,,
Dividend (Dividend),2024-09-27 12:44:02,US5398301094,LMT,"Lockheed Martin",,,0.3709186000,2.677500,USD,22.50450350,,,22.35,"CZK",0.18,USD,,,,,,,,
Deposit,2024-09-29 08:30:06,,,,"Transaction ID: KP9476LG57KFVLF3",71063fb8-f4aa-449e-a34f-80b2da54deac,,,,,,,10000.00,"CZK",,,10070.00,"CZK",-70.00,"CZK",,,,
